 Go Ju Ni P5 Ph Py Rk     Yin and yang
 Go Ju Ni P5 Ph Py Rk     XML/DOM serialization
 Go Ju Ni P5 Ph Py Rk     Window management
 Go Ju Ni P5 Ph Py Rk     Window creation/X11
 Go Ju Ni P5 Ph Py Rk     Web scraping
 Go Ju Ni P5 Ph Py Rk     Video display modes
 Go Ju Ni P5 Ph Py Rk     Terminal control/Unicode output
 Go Ju Ni P5 Ph Py Rk     Terminal control/Positional read
 Go Ju Ni P5 Ph Py Rk     Terminal control/Dimensions
 Go Ju Ni P5 Ph Py Rk     Take notes on the command line
 Go Ju Ni P5 Ph Py Rk     Sutherland-Hodgman polygon clipping
 Go Ju Ni P5 Ph Py Rk     Speech synthesis
 Go Ju Ni P5 Ph Py Rk     Sockets
 Go Ju Ni P5 Ph Py Rk     Simple windowed application
 Go Ju Ni P5 Ph Py Rk     Simple database
 Go Ju Ni P5 Ph Py Rk     Shell one-liner
 Go Ju Ni P5 Ph Py Rk     Send email
 Go Ju Ni P5 Ph Py Rk     SQL-based authentication
 Go Ju Ni P5 Ph Py Rk     Rosetta Code/Rank languages by popularity
 Go Ju Ni P5 Ph Py Rk     Rosetta Code/Fix code tags
 Go Ju Ni P5 Ph Py Rk     Rosetta Code/Find unimplemented tasks
 Go Ju Ni P5 Ph Py Rk     Rosetta Code/Find bare lang tags
 Go Ju Ni P5 Ph Py Rk     Rosetta Code/Count examples
 Go Ju Ni P5 Ph Py Rk     Retrieve and search chat history
 Go Ju Ni P5 Ph Py Rk     RCRPG
 Go Ju Ni P5 Ph Py Rk     QR decomposition
 Go Ju Ni P5 Ph Py Rk     Plot coordinate pairs
 Go Ju Ni P5 Ph Py Rk     Pig the dice game/Player
 Go Ju Ni P5 Ph Py Rk     Percentage difference between images
 Go Ju Ni P5 Ph Py Rk     Parametrized SQL statement
 Go Ju Ni P5 Ph Py Rk     Parallel calculations
 Go Ju Ni P5 Ph Py Rk     OpenGL
 Go Ju Ni P5 Ph Py Rk     One-time pad
 Go Ju Ni P5 Ph Py Rk     Native shebang
 Go Ju Ni P5 Ph Py Rk     Mutex
 Go Ju Ni P5 Ph Py Rk     Median filter
 Go Ju Ni P5 Ph Py Rk     Matrix digital rain
 Go Ju Ni P5 Ph Py Rk     Make directory path
 Go Ju Ni P5 Ph Py Rk     Linux CPU utilization
 Go Ju Ni P5 Ph Py Rk     Keyboard macros
 Go Ju Ni P5 Ph Py Rk     Image convolution
 Go Ju Ni P5 Ph Py Rk     Hough transform
 Go Ju Ni P5 Ph Py Rk     Host introspection
 Go Ju Ni P5 Ph Py Rk     Hello world/Web server
 Go Ju Ni P5 Ph Py Rk     Hello world/Line printer
 Go Ju Ni P5 Ph Py Rk     HTTPS/Client-authenticated
 Go Ju Ni P5 Ph Py Rk     HTTPS/Authenticated
 Go Ju Ni P5 Ph Py Rk     HTTPS
 Go Ju Ni P5 Ph Py Rk     HTTP
 Go Ju Ni P5 Ph Py Rk     Grayscale image
 Go Ju Ni P5 Ph Py Rk     Globally replace text in several files
 Go Ju Ni P5 Ph Py Rk     GUI enabling/disabling of controls
 Go Ju Ni P5 Ph Py Rk     GUI component interaction
 Go Ju Ni P5 Ph Py Rk     Fork
 Go Ju Ni P5 Ph Py Rk     Find duplicate files
 Go Ju Ni P5 Ph Py Rk     File modification time
 Go Ju Ni P5 Ph Py Rk     FTP
 Go Ju Ni P5 Ph Py Rk     Draw a rotating cube
 Go Ju Ni P5 Ph Py Rk     Determine if only one instance is running
 Go Ju Ni P5 Ph Py Rk     Death Star
 Go Ju Ni P5 Ph Py Rk     DNS query
 Go Ju Ni P5 Ph Py Rk     Color quantization
 Go Ju Ni P5 Ph Py Rk     Check output device is a terminal
 Go Ju Ni P5 Ph Py Rk     Chat server
 Go Ju Ni P5 Ph Py Rk     Chaos game
 Go Ju Ni P5 Ph Py Rk     Call a function in a shared library
 Go Ju Ni P5 Ph Py Rk     Bitmap/Read a PPM file
 Go Ju Ni P5 Ph Py Rk     Bilinear interpolation
 Go Ju Ni P5 Ph Py Rk     Apply a digital filter (direct form II transposed)
 Go Ju Ni P5 Ph Py Rk     2048
 Go Ju Ni P5 Ph Py    Wr  Sort an outline at every level
 Go Ju Ni P5 Ph Py    Wr  Nonogram solver
 Go Ju Ni P5 Ph Py    Wr  Honeycombs
 Go Ju Ni P5 Ph Py    Wr  Free polyominoes enumeration
 Go Ju Ni P5 Ph Py    Wr  Compiler/syntax analyzer
 Go Ju Ni P5 Ph Py    Wr  Compiler/AST interpreter
 Go Ju Ni P5 Ph    Rk Wr  Words from neighbour ones
 Go Ju Ni P5 Ph    Rk Wr  Wieferich primes
 Go Ju Ni P5 Ph    Rk Wr  Waveform analysis/Doh ray me
 Go Ju Ni P5 Ph    Rk Wr  Untouchable numbers
 Go Ju Ni P5 Ph    Rk Wr  Twin primes
 Go Ju Ni P5 Ph    Rk Wr  Triplet of three numbers
 Go Ju Ni P5 Ph    Rk Wr  Three word location
 Go Ju Ni P5 Ph    Rk Wr  Text to HTML
 Go Ju Ni P5 Ph    Rk Wr  Sum data type
 Go Ju Ni P5 Ph    Rk Wr  Start from a main routine
 Go Ju Ni P5 Ph    Rk Wr  Square root by hand
 Go Ju Ni P5 Ph    Rk Wr  Square Form Factorization
 Go Ju Ni P5 Ph    Rk Wr  Special factorials
 Go Ju Ni P5 Ph    Rk Wr  Smallest numbers
 Go Ju Ni P5 Ph    Rk Wr  Sine wave
 Go Ju Ni P5 Ph    Rk Wr  Simulated annealing
 Go Ju Ni P5 Ph    Rk Wr  Sierpinski curve
 Go Ju Ni P5 Ph    Rk Wr  Sierpinski arrowhead curve
 Go Ju Ni P5 Ph    Rk Wr  Show the (decimal) value of a number of 1s appended with a 3, then squared
 Go Ju Ni P5 Ph    Rk Wr  Selective file copy
 Go Ju Ni P5 Ph    Rk Wr  Quadrat Special Primes
 Go Ju Ni P5 Ph    Rk Wr  Pseudorandom number generator image
 Go Ju Ni P5 Ph    Rk Wr  Prime words
 Go Ju Ni P5 Ph    Rk Wr  Prime triplets
 Go Ju Ni P5 Ph    Rk Wr  Powerful numbers
 Go Ju Ni P5 Ph    Rk Wr  Piprimes
 Go Ju Ni P5 Ph    Rk Wr  Permutations with some identical elements
 Go Ju Ni P5 Ph    Rk Wr  Pattern matching
 Go Ju Ni P5 Ph    Rk Wr  Odd words
 Go Ju Ni P5 Ph    Rk Wr  Odd squarefree semiprimes
 Go Ju Ni P5 Ph    Rk Wr  Numbers with prime digits whose sum is 13
 Go Ju Ni P5 Ph    Rk Wr  Numbers in base-16 representation that cannot be written with decimal digits
 Go Ju Ni P5 Ph    Rk Wr  Nice primes
 Go Ju Ni P5 Ph    Rk Wr  Next special primes
 Go Ju Ni P5 Ph    Rk Wr  Neighbour primes
 Go Ju Ni P5 Ph    Rk Wr  Minimum positive multiple in base 10 using only 0 and 1
 Go Ju Ni P5 Ph    Rk Wr  Magnanimous numbers
 Go Ju Ni P5 Ph    Rk Wr  Line circle intersection
 Go Ju Ni P5 Ph    Rk Wr  Gradient descent
 Go Ju Ni P5 Ph    Rk Wr  Function prototype
 Go Ju Ni P5 Ph    Rk Wr  Frobenius numbers
 Go Ju Ni P5 Ph    Rk Wr  French Republican calendar
 Go Ju Ni P5 Ph    Rk Wr  Find words which first and last three letters are equals
 Go Ju Ni P5 Ph    Rk Wr  Find words which contains most consonants
 Go Ju Ni P5 Ph    Rk Wr  Find words which contains all the vowels
 Go Ju Ni P5 Ph    Rk Wr  Find prime numbers of the form n*n*n+2
 Go Ju Ni P5 Ph    Rk Wr  Find prime n for that reversed n is also prime
 Go Ju Ni P5 Ph    Rk Wr  Find first missing positive
 Go Ju Ni P5 Ph    Rk Wr  Esthetic numbers
 Go Ju Ni P5 Ph    Rk Wr  Erdős-primes
 Go Ju Ni P5 Ph    Rk Wr  Elliptic Curve Digital Signature Algorithm
 Go Ju Ni P5 Ph    Rk Wr  Cyclops numbers
 Go Ju Ni P5 Ph    Rk Wr  Curve that touches three points
 Go Ju Ni P5 Ph    Rk Wr  Cubic Special Primes
 Go Ju Ni P5 Ph    Rk Wr  Count the coins/0-1
 Go Ju Ni P5 Ph    Rk Wr  Coprime triplets
